time,symbol,price,signal,action_taken,balance,position,portfolio_value
2026-08-15T15:39:58.853119+00:00,BTC/USD,63052.2,HOLD,HOLD,0.0,0.01586298446412012,1000.1960690285946
2026-08-15T16:01:07.575628+00:00,BTC/USD,63031.7,HOLD,HOLD,0.0,0.01586298446412012,999.8708778470801
2026-08-15T16:57:56.861098+00:00,BTC/USD,63028.1,HOLD,HOLD,0.0,0.01586298446412012,999.8137711030093
2026-08-15T17:43:28.262727+00:00,BTC/USD,63003.3,HOLD,HOLD,0.0,0.01586298446412012,999.4203690882993
2026-08-15T18:01:12.321035+00:00,BTC/USD,63003.6,HOLD,HOLD,0.0,0.01586298446412012,999.4251279836384
2026-08-15T19:04:17.862528+00:00,BTC/USD,62995.7,HOLD,HOLD,0.0,0.01586298446412012,999.2998104063719
2026-08-15T19:49:49.847126+00:00,BTC/USD,63052.4,HOLD,HOLD,0.0,0.01586298446412012,1000.1992416254875
2026-08-15T20:50:36.919054+00:00,BTC/USD,63014.9,HOLD,HOLD,0.0,0.01586298446412012,999.604379708083
2026-08-15T21:40:43.353782+00:00,BTC/USD,63090.0,HOLD,HOLD,0.0,0.01586298446412012,1000.7956898413385
2026-08-15T22:00:59.764771+00:00,BTC/USD,63089.9,HOLD,HOLD,0.0,0.01586298446412012,1000.794103542892
2026-08-15T22:54:37.336390+00:00,BTC/USD,63066.8,HOLD,HOLD,0.0,0.01586298446412012,1000.4276686017708
2026-08-15T23:39:51.317622+00:00,BTC/USD,63036.6,HOLD,HOLD,0.0,0.01586298446412012,999.9486064709544
2026-08-16T00:00:21.387691+00:00,BTC/USD,63024.3,HOLD,HOLD,0.0,0.01586298446412012,999.7534917620458
2026-08-16T03:16:48.606892+00:00,BTC/USD,63049.2,HOLD,HOLD,0.0,0.01586298446412012,1000.1484800752023
2026-08-16T05:02:44.365320+00:00,BTC/USD,63017.3,HOLD,HOLD,0.0,0.01586298446412012,999.6424508707969
2026-08-16T06:00:28.934220+00:00,BTC/USD,63002.2,HOLD,HOLD,0.0,0.01586298446412012,999.4029198053886
2026-08-16T07:48:23.776785+00:00,BTC/USD,62989.6,HOLD,HOLD,0.0,0.01586298446412012,999.2030462011408
2026-08-16T09:00:57.169779+00:00,BTC/USD,63003.6,HOLD,HOLD,0.0,0.01586298446412012,999.4251279836384
2026-08-16T09:56:52.949765+00:00,BTC/USD,62930.5,HOLD,HOLD,0.0,0.01586298446412012,998.2655438193112
2026-08-16T10:51:29.313999+00:00,BTC/USD,62924.9,HOLD,HOLD,0.0,0.01586298446412012,998.1767111063123
2026-08-16T11:40:37.881883+00:00,BTC/USD,62921.6,HOLD,HOLD,0.0,0.01586298446412012,998.1243632575806
2026-08-16T12:01:19.074517+00:00,BTC/USD,62924.9,HOLD,HOLD,0.0,0.01586298446412012,998.1767111063123
2026-08-16T13:46:28.639503+00:00,BTC/USD,62998.9,HOLD,HOLD,0.0,0.01586298446412012,999.3505719566571
2026-08-16T14:51:57.897283+00:00,BTC/USD,63035.1,HOLD,HOLD,0.0,0.01586298446412012,999.9248119942582
2026-08-16T15:43:27.600342+00:00,BTC/USD,63070.6,HOLD,HOLD,0.0,0.01586298446412012,1000.4879479427344
2026-08-16T16:49:28.835897+00:00,BTC/USD,63229.1,HOLD,HOLD,0.0,0.01586298446412012,1003.0022309802976
2026-08-16T17:40:10.755476+00:00,BTC/USD,63125.4,HOLD,HOLD,0.0,0.01586298446412012,1001.3572394913683
2026-08-16T18:00:15.830883+00:00,BTC/USD,63100.6,HOLD,HOLD,0.0,0.01586298446412012,1000.9638374766581
2026-08-16T19:00:38.124953+00:00,BTC/USD,63077.5,HOLD,HOLD,0.0,0.01586298446412012,1000.597402535537
2026-08-16T19:48:28.873429+00:00,BTC/USD,63108.1,HOLD,HOLD,0.0,0.01586298446412012,1001.082809860139
2026-08-16T20:49:25.517993+00:00,BTC/USD,62996.8,HOLD,HOLD,0.0,0.01586298446412012,999.3172596892824
2026-08-16T21:39:56.241060+00:00,BTC/USD,62957.0,HOLD,HOLD,0.0,0.01586298446412012,998.6859129076105
2026-08-16T21:59:56.422917+00:00,BTC/USD,62899.0,HOLD,HOLD,0.0,0.01586298446412012,997.7658598086915
2026-08-16T22:49:12.638360+00:00,BTC/USD,62727.1,HOLD,HOLD,0.0,0.01586298446412012,995.0390127793092
2026-08-16T23:39:15.402021+00:00,BTC/USD,62802.3,HOLD,HOLD,0.0,0.01586298446412012,996.2319092110112
2026-08-16T23:59:25.148315+00:00,BTC/USD,62819.1,HOLD,HOLD,0.0,0.01586298446412012,996.4984073500083
2026-08-17T03:16:09.606080+00:00,BTC/USD,63353.7,HOLD,HOLD,0.0,0.01586298446412012,1004.9787588445269
2026-08-17T05:22:10.417822+00:00,BTC/USD,63503.4,HOLD,HOLD,0.0,0.01586298446412012,1007.3534476188057
2026-08-17T08:03:38.345440+00:00,BTC/USD,63425.1,HOLD,HOLD,0.0,0.01586298446412012,1006.1113759352651
2026-08-17T10:06:47.834466+00:00,BTC/USD,63250.1,HOLD,HOLD,0.0,0.01586298446412012,1003.3353536540441
2026-08-17T11:02:49.177744+00:00,BTC/USD,63610.8,HOLD,HOLD,0.0,0.01586298446412012,1009.0571321502522
2026-08-17T11:57:15.992401+00:00,BTC/USD,63548.3,BUY,HOLD,0.0,0.01586298446412012,1008.0656956212447
2026-08-17T13:56:12.521254+00:00,BTC/USD,63565.4,HOLD,HOLD,0.0,0.01586298446412012,1008.3369526555812
2026-08-17T14:56:55.585220+00:00,BTC/USD,63730.7,HOLD,HOLD,0.0,0.01586298446412012,1010.9591039875002
2026-08-17T15:53:12.416605+00:00,BTC/USD,64139.9,HOLD,HOLD,0.0,0.01586298446412012,1017.4502372302181
2026-08-17T17:00:06.890677+00:00,BTC/USD,64058.7,HOLD,HOLD,0.0,0.01586298446412012,1016.1621628917316
2026-08-17T18:00:51.525203+00:00,BTC/USD,64258.7,HOLD,HOLD,0.0,0.01586298446412012,1019.3347597845556
2026-08-17T19:42:24.433218+00:00,BTC/USD,64343.2,HOLD,HOLD,0.0,0.01586298446412012,1020.6751819717737
2026-08-17T20:56:51.545339+00:00,BTC/USD,64349.4,HOLD,HOLD,0.0,0.01586298446412012,1020.7735324754514
2026-08-17T21:53:25.565274+00:00,BTC/USD,64340.4,HOLD,HOLD,0.0,0.01586298446412012,1020.6307656152743
2026-08-17T22:53:43.733652+00:00,BTC/USD,64242.7,HOLD,HOLD,0.0,0.01586298446412012,1019.0809520331296
2026-08-17T23:46:12.171300+00:00,BTC/USD,64430.1,HOLD,HOLD,0.0,0.01586298446412012,1022.0536753217058
2026-08-18T03:09:30.551476+00:00,BTC/USD,64050.0,HOLD,HOLD,0.0,0.01586298446412012,1016.0241549268937
2026-08-18T05:02:41.877177+00:00,BTC/USD,64133.4,HOLD,HOLD,0.0,0.01586298446412012,1017.3471278312014
2026-08-18T06:01:14.213315+00:00,BTC/USD,64136.0,HOLD,HOLD,0.0,0.01586298446412012,1017.3883715908081
2026-08-18T08:04:10.853069+00:00,BTC/USD,64105.1,HOLD,HOLD,0.0,0.01586298446412012,1016.8982053708668
2026-08-18T09:53:49.888026+00:00,BTC/USD,64094.0,SELL,SELL,1015.7054041170718,0.0,1015.7054041170718
2026-08-18T10:59:53.953764+00:00,BTC/USD,64143.0,HOLD,HOLD,1015.7054041170718,0.0,1015.7054041170718
2026-08-18T11:56:08.282189+00:00,BTC/USD,64280.0,HOLD,HOLD,1015.7054041170718,0.0,1015.7054041170718
2026-08-18T14:05:40.272407+00:00,BTC/USD,64300.5,HOLD,HOLD,1015.7054041170718,0.0,1015.7054041170718
2026-08-18T15:51:00.447907+00:00,BTC/USD,64784.4,HOLD,HOLD,1015.7054041170718,0.0,1015.7054041170718
2026-08-18T17:02:30.689175+00:00,BTC/USD,64753.3,HOLD,HOLD,1015.7054041170718,0.0,1015.7054041170718
2026-08-18T18:02:22.451420+00:00,BTC/USD,64624.3,HOLD,HOLD,1015.7054041170718,0.0,1015.7054041170718
2026-08-18T19:37:54.034795+00:00,BTC/USD,64678.4,HOLD,HOLD,1015.7054041170718,0.0,1015.7054041170718
2026-08-18T20:02:03.517243+00:00,BTC/USD,64605.3,HOLD,HOLD,1015.7054041170718,0.0,1015.7054041170718
2026-08-18T20:59:17.577166+00:00,BTC/USD,64551.8,SELL,HOLD,1015.7054041170718,0.0,1015.7054041170718
